P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
diadema_Isabel	diadema_Guadalcanal	diadema_NB	0.0728008	0.788669	0.215153	0.00211445	1131.46	14.2756	12.3381
diadema_Guadalcanal	diadema_Ngella	diadema_Isabel	0.104625	4.25136	1.06238e-05	0.212949	156.32	121.814	98.7388
diadema_Isabel	diadema_Guadalcanal	diadema_Rendova	0.0274144	0.377998	0.352716	0.00241827	305.485	42.1619	39.9119
diadema_Guadalcanal	dinops_Guadalcanal	diadema_Isabel	0.0808301	1.85275	0.0319592	0.151955	161.978	118.174	100.499
dinops_Rendova	diadema_Isabel	diadema_Guadalcanal	0.0897023	2.36848	0.00893061	0.109537	154.317	115.279	96.3001
diadema_Ngella	diadema_Guadalcanal	diadema_NB	0.0523425	0.521348	0.301062	0.00136348	1185.93	12.6075	11.3533
diadema_Rendova	diadema_Guadalcanal	diadema_NB	0.169625	1.62445	0.0521399	0.00986058	879.573	30.8854	21.9271
dinops_Guadalcanal	diadema_Guadalcanal	diadema_NB	0.326624	3.13741	0.000852252	0.00954879	1194.24	18.0234	9.14844
dinops_Rendova	diadema_Guadalcanal	diadema_NB	0.162968	1.38958	0.0823287	0.00536566	1115.98	17.4688	12.5729
diadema_Ngella	diadema_Guadalcanal	diadema_Rendova	0.0186734	0.316709	0.375732	0.00147057	357.822	37.2773	35.9106
dinops_Guadalcanal	diadema_Guadalcanal	diadema_Ngella	0.00548802	0.1294	0.448521	0.00929244	137.937	134.04	132.576
diadema_Guadalcanal	diadema_Ngella	dinops_Rendova	0.0760307	3.14031	0.000843849	0.0414345	170.15	108.992	93.5896
dinops_Guadalcanal	diadema_Guadalcanal	diadema_Rendova	0.108741	1.22387	0.110501	0.00855908	366.751	41.2096	33.1263
diadema_Guadalcanal	dinops_Rendova	diadema_Rendova	0.157607	2.87705	0.00200706	0.0177769	289.268	61.1693	44.513
dinops_Rendova	diadema_Guadalcanal	dinops_Guadalcanal	0.132381	4.71615	1.20177e-06	0.0958452	93.0933	173.552	132.974
diadema_Isabel	diadema_Ngella	diadema_NB	0.0284714	0.369479	0.355886	0.000750418	1152.73	12.342	11.6587
diadema_Rendova	diadema_Isabel	diadema_NB	0.134454	1.18036	0.118928	0.00775194	878.073	29.5312	22.5313
dinops_Guadalcanal	diadema_Isabel	diadema_NB	0.265101	2.69388	0.00353125	0.00757765	1152.32	16.5534	9.61589
dinops_Rendova	diadema_Isabel	diadema_NB	0.131573	1.31144	0.0948542	0.00326594	1171.18	12.7214	9.76302
diadema_Isabel	diadema_Ngella	diadema_Rendova	0.0114858	0.182408	0.427631	0.000938842	325.811	38.8948	38.0115
dinops_Guadalcanal	diadema_Ngella	diadema_Isabel	0.0242718	0.595073	0.275897	0.0562724	146.983	113.94	108.54
diadema_Ngella	dinops_Rendova	diadema_Isabel	0.0589164	1.50983	0.0655428	0.177603	100.837	143.452	127.489
dinops_Guadalcanal	diadema_Isabel	diadema_Rendova	0.0758311	1.03408	0.150549	0.0062461	324.893	41.3793	35.546
diadema_Isabel	dinops_Rendova	diadema_Rendova	0.205876	4.60843	2.02858e-06	0.0201703	341.028	55.3698	36.4635
diadema_Isabel	dinops_Rendova	dinops_Guadalcanal	0.0132585	0.356871	0.360594	0.00756225	141.396	123.259	120.034
diadema_Rendova	diadema_Ngella	diadema_NB	0.141023	1.24736	0.106133	0.00814784	879.187	29.9875	22.575
dinops_Guadalcanal	diadema_Ngella	diadema_NB	0.297338	3.12077	0.000901903	0.00828033	1188.63	16.6255	9.00469
dinops_Rendova	diadema_Ngella	diadema_NB	0.143083	1.35212	0.0881689	0.0039452	1129.2	14.5465	10.9049
diadema_Rendova	dinops_Guadalcanal	diadema_NB	0.00669132	0.0588986	0.476516	0.00043799	879.38	29.776	29.3802
diadema_Rendova	dinops_Rendova	diadema_NB	0.0828595	0.672422	0.250657	0.00464227	897.792	27.7708	23.5208
dinops_Guadalcanal	dinops_Rendova	diadema_NB	0.156317	1.30923	0.0952281	0.00433372	1156.55	14.7174	10.7383
dinops_Guadalcanal	diadema_Ngella	diadema_Rendova	0.0943499	1.24216	0.10709	0.00706243	359.738	38.9528	32.2361
diadema_Ngella	dinops_Rendova	diadema_Rendova	0.170715	2.57644	0.00499116	0.0192704	305.018	61.7979	43.775
diadema_Ngella	dinops_Guadalcanal	dinops_Rendova	0.108212	2.73198	0.0031477	0.0711489	160.558	125.34	100.862
dinops_Guadalcanal	dinops_Rendova	diadema_Rendova	0.25303	3.91434	4.53262e-05	0.026084	328.934	61.2565	36.5169
